feature,importance_mean,importance_std,absolute_importance
Attendance,1.8359711107914887,0.03413367222028431,1.8359711107914887
Hours_Studied,0.8258603894868688,0.015504674176716167,0.8258603894868688
Access_to_Resources,0.2968868310093054,0.014844997756248713,0.2968868310093054
Previous_Scores,0.29683041109707753,0.014320832570396331,0.29683041109707753
Parental_Involvement,0.28861064020145827,0.010296324890901501,0.28861064020145827
Tutoring_Sessions,0.22118390904386082,0.011393676573148244,0.22118390904386082
Study_Attendance_Interaction,0.1267606452040069,0.005096301281115382,0.1267606452040069
Family_Income,0.10886710068659104,0.009653261079637421,0.10886710068659104
Peer_Influence,0.10011907417388692,0.005045356677511247,0.10011907417388692
Parental_Education_Level,0.08886963823398183,0.009996129558109683,0.08886963823398183
Motivation_Level,0.08842486253501233,0.011242491109288879,0.08842486253501233
Distance_from_Home,0.06746692799681235,0.006863280591908034,0.06746692799681235
Teacher_Quality,0.05585995483016717,0.005111050348317863,0.05585995483016717
Internet_Access,0.049515877993864185,0.006506654177511282,0.049515877993864185
Extracurricular_Activities,0.04598962781407621,0.005406268426823631,0.04598962781407621
Learning_Disabilities,0.03238823103149065,0.008516544466325571,0.03238823103149065
Physical_Activity,0.030199304655395977,0.0060215342082842,0.030199304655395977
Study_Sleep_Interaction,0.027556940238018534,0.0029685448534378257,0.027556940238018534
Sleep_Hours,0.004296022397081845,0.0014978765094344156,0.004296022397081845
Gender,0.00032951214987626544,0.0001912513270220656,0.00032951214987626544
School_Type,0.00016540091281138646,7.567148093243667e-05,0.00016540091281138646
